# gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false "gmm-boost-silence --boost=1.0 1 exp/mono/2.mdl - |" "ark:gunzip -c exp/mono/fsts.1.gz|" "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split6/1/utt2spk scp:data/train/split6/1/cmvn.scp scp:data/train/split6/1/feats.scp ark:- | add-deltas ark:- ark:- |" "ark,t:|gzip -c >exp/mono/ali.1.gz" 
# Started at Thu May 10 00:24:44 HKT 2018
#
gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false 'gmm-boost-silence --boost=1.0 1 exp/mono/2.mdl - |' 'ark:gunzip -c exp/mono/fsts.1.gz|' 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split6/1/utt2spk scp:data/train/split6/1/cmvn.scp scp:data/train/split6/1/feats.scp ark:- | add-deltas ark:- ark:- |' 'ark,t:|gzip -c >exp/mono/ali.1.gz' 
gmm-boost-silence --boost=1.0 1 exp/mono/2.mdl - 
WARNING (gmm-boost-silence[5.3.4~1340-b701]:main():gmm-boost-silence.cc:82) The pdfs for the silence phones may be shared by other phones (note: this probably does not matter.)
LOG (gmm-boost-silence[5.3.4~1340-b701]:main():gmm-boost-silence.cc:93) Boosted weights for 5 pdfs, by factor of 1
LOG (gmm-boost-silence[5.3.4~1340-b701]:main():gmm-boost-silence.cc:103) Wrote model to -
apply-cmvn --utt2spk=ark:data/train/split6/1/utt2spk scp:data/train/split6/1/cmvn.scp scp:data/train/split6/1/feats.scp ark:- 
add-deltas ark:- ark:- 
LOG (gmm-align-compiled[5.3.4~1340-b701]:main():gmm-align-compiled.cc:127) jp10-speaker001-01
LOG (gmm-align-compiled[5.3.4~1340-b701]:main():gmm-align-compiled.cc:127) jp10-speaker001-02
LOG (gmm-align-compiled[5.3.4~1340-b701]:main():gmm-align-compiled.cc:127) jp10-speaker001-03
LOG (gmm-align-compiled[5.3.4~1340-b701]:main():gmm-align-compiled.cc:127) jp10-speaker001-04
LOG (gmm-align-compiled[5.3.4~1340-b701]:main():gmm-align-compiled.cc:127) jp10-speaker001-06
LOG (gmm-align-compiled[5.3.4~1340-b701]:main():gmm-align-compiled.cc:127) jp10-speaker001-07
LOG (gmm-align-compiled[5.3.4~1340-b701]:main():gmm-align-compiled.cc:127) jp10-speaker001-08
LOG (gmm-align-compiled[5.3.4~1340-b701]:main():gmm-align-compiled.cc:127) jp10-speaker001-09
LOG (gmm-align-compiled[5.3.4~1340-b701]:main():gmm-align-compiled.cc:127) jp10-speaker001-10
LOG (gmm-align-compiled[5.3.4~1340-b701]:main():gmm-align-compiled.cc:127) jp10-speaker002-01
LOG (gmm-align-compiled[5.3.4~1340-b701]:main():gmm-align-compiled.cc:127) jp10-speaker002-02
LOG (gmm-align-compiled[5.3.4~1340-b701]:main():gmm-align-compiled.cc:127) jp10-speaker002-03
LOG (gmm-align-compiled[5.3.4~1340-b701]:main():gmm-align-compiled.cc:127) jp10-speaker002-04
LOG (gmm-align-compiled[5.3.4~1340-b701]:main():gmm-align-compiled.cc:127) jp10-speaker002-05
LOG (gmm-align-compiled[5.3.4~1340-b701]:main():gmm-align-compiled.cc:127) jp10-speaker002-06
LOG (gmm-align-compiled[5.3.4~1340-b701]:main():gmm-align-compiled.cc:127) jp10-speaker002-07
LOG (gmm-align-compiled[5.3.4~1340-b701]:main():gmm-align-compiled.cc:127) jp10-speaker003-01
LOG (gmm-align-compiled[5.3.4~1340-b701]:main():gmm-align-compiled.cc:127) jp10-speaker003-02
LOG (gmm-align-compiled[5.3.4~1340-b701]:main():gmm-align-compiled.cc:127) jp10-speaker003-03
LOG (gmm-align-compiled[5.3.4~1340-b701]:main():gmm-align-compiled.cc:127) jp10-speaker003-04
